PassengerId,Survived_pred,Probability_sur
892,0,0.1054749509165046
893,0,0.3169306643933375
894,0,0.22930063723189117
895,0,0.11782091708646028
896,0,0.41763832683880786
897,0,0.07704069136879792
898,0,0.26459079206891667
899,0,0.07346025755891558
900,1,0.9347838471105685
901,0,0.03711043918024689
902,0,0.056877576029988434
903,0,0.11911509053948773
904,1,0.9313557971364897
905,0,0.4667234734519774
906,1,0.945557599229137
907,1,0.9422214370215389
908,0,0.1209264515888435
909,0,0.2792051137926397
910,1,0.6078196331370562
911,1,0.5132870491780133
912,0,0.34364678507077706
913,0,0.25985846547246644
914,1,0.9571562379584604
915,1,0.6425996652423198
916,1,0.9925560024580974
917,0,0.014597231959409152
918,1,0.9898454092288218
919,0,0.30235548341730684
920,1,0.577347628877732
921,0,0.10194030521806104
922,0,0.034885395581292764
923,0,0.08350577829720525
924,1,0.5771972502939952
925,0,0.34507659875743485
926,0,0.4969878847086775
927,0,0.3478895262427987
928,0,0.3325100891305402
929,0,0.2682301413065951
930,0,0.06650934190557571
931,1,0.7491082968816218
932,0,0.18267936984859134
933,0,0.4055954641675965
934,0,0.1079228230407545
935,1,0.8746188504219337
936,1,0.9907076266609611
937,0,0.1466691490657162
938,0,0.4507550294361698
939,0,0.07887938527988334
940,1,0.9628032965575211
941,1,0.7523789377592117
942,0,0.34606961213338033
943,0,0.2839721885868108
944,1,0.7707671123753719
945,1,0.9106408330746597
946,0,0.2071808959833094
947,0,0.0036618178398416484
948,0,0.104741337782583
949,0,0.09266604948023041
950,0,0.1292513863951892
951,1,0.9906833463679161
952,0,0.06744912560045545
953,0,0.19753843991144607
954,0,0.12401787866270497
955,1,0.8494140201805227
956,0,0.1738777869304298
957,1,0.5145406919171792
958,1,0.8135557039292889
959,0,0.13973421229797467
960,0,0.25791421031042533
961,1,0.8349717535126283
962,1,0.7799722440538229
963,0,0.044555536445914534
964,1,0.6494765809966047
965,0,0.24734169263813785
966,1,0.9723470369685155
967,0,0.16055922004320283
968,0,0.07397553037083476
969,1,0.9297081087548847
970,0,0.14037309929784
971,1,0.7799722440538229
972,1,0.9728197963469821
973,0,0.020122548063976814
974,0,0.40347626282239074
975,0,0.056877576029988434
976,0,0.07070663885745189
977,0,0.027014549634470156
978,1,0.8780301068877957
979,0,0.373996568251165
980,1,0.8038208673329512
981,1,0.7366902907118484
982,0,0.08026304209775632
983,0,0.10558393979073127
984,1,0.8903165401855363
985,0,0.07397553037083476
986,0,0.44033583922617825
987,0,0.09266604948023041
988,1,0.9987485821854502
989,0,0.22906946734276193
990,1,0.5254949344450438
991,0,0.13418054216551295
992,1,0.9906331692532806
993,0,0.1509128339390516
994,0,0.07887938527988334
995,0,0.1178716927276989
996,1,0.7288540820961296
997,0,0.10791019260803872
998,0,0.062104716995682284
999,0,0.07887938527988334
1000,0,0.07064735152333457
1001,0,0.1098009826091585
1002,0,0.08487508080446697
1003,1,0.8038208673329512
1004,1,0.9786671225574082
1005,1,0.91403789567113
1006,1,0.9798377003134012
1007,0,0.04415443293460295
1008,0,0.030040513302283082
1009,1,0.9745199433419336
1010,1,0.5003283490162669
1011,1,0.9124357605077689
1012,1,0.9612381945075178
1013,0,0.06545941142145316
1014,1,0.984766150638012
1015,0,0.054711734486346884
1016,0,0.07887938527988334
1017,1,0.7001730803863818
1018,0,0.09266604948023041
1019,1,0.6911316877160435
1020,0,0.18225095176685133
1021,0,0.06464532992436146
1022,0,0.13418054216551295
1023,0,0.07250001419657669
1024,0,0.07016805725100801
1025,0,0.029069856257179894
1026,0,0.07703967025948555
1027,0,0.09266604948023041
1028,0,0.33548691667561736
1029,0,0.1255926166989104
1030,0,0.3011773496381589
1031,0,0.00566461715878524
1032,0,0.010492440915159428
1033,1,0.9463407466378317
1034,0,0.2679627970341254
1035,0,0.1243977438512405
1036,1,0.5451397852329604
1037,0,0.10256387090735473
1038,0,0.21737533824995955
1039,0,0.06464532992436146
1040,0,0.4055954641675965
1041,0,0.11519045276201602
1042,1,0.987543658097781
1043,0,0.09550515920824293
1044,0,0.006539319365877271
1045,1,0.558152620488338
1046,0,0.01619043805401755
1047,0,0.09924742304201084
1048,1,0.9537523418797819
1049,0,0.46628432729768354
1050,1,0.5451397852329604
1051,0,0.420594814906937
1052,1,0.8670191733673965
1053,1,0.9096382894834628
1054,1,0.8598592659490655
1055,0,0.15878346092821607
1056,0,0.1416477078803956
1057,0,0.49499159505648643
1058,0,0.4344031748415922
1059,0,0.04694415418037969
1060,1,0.9409116372604416
1061,0,0.2908376963313901
1062,0,0.054711734486346884
1063,0,0.4393409587076121
1064,0,0.013801359877397997
1065,0,0.09201192010164118
1066,0,0.015365181623436891
1067,1,0.8999058771937101
1068,1,0.9101896026648816
1069,0,0.4852438704813436
1070,1,0.8775939038100847
1071,1,0.8802350184803088
1072,0,0.14037309929784
1073,0,0.11036134570168529
1074,1,0.9719355858667054
1075,0,0.07887938527988334
1076,1,0.9832890892198939
1077,0,0.24151173266904127
1078,0,0.45042191919042235
1079,0,0.03797731229538632
1080,0,0.12492199978646105
1081,0,0.1416477078803956
1082,0,0.1640576554283313
1083,0,0.2159911712466253
1084,0,0.20454025014879612
1085,0,0.02878762474447677
1086,1,0.8023259469783499
1087,0,0.1863371113586859
1088,1,0.7791458315824491
1089,1,0.5477343826898575
1090,0,0.09757703720290517
1091,0,0.15698285503256723
