PassengerId,Survived_pred,Probability
892,0,0.16437885842726324
893,0,0.4123919752236562
894,0,0.13585939046931853
895,0,0.15179450154173424
896,0,0.456084842842635
897,0,0.18452641093214583
898,1,0.8392905443754968
899,0,0.1738213268931394
900,1,0.7677126770353027
901,0,0.10847558369955515
902,0,0.1514509068948477
903,0,0.16216399395820133
904,1,0.8789007348114564
905,0,0.1652171096618624
906,1,0.902267650421617
907,1,0.8801355061356744
908,0,0.1419031549881384
909,0,0.1762614992862283
910,0,0.4166549080935294
911,1,0.5225284351744502
912,0,0.27340301143895257
913,1,0.5144743040479027
914,1,0.8931624582056671
915,0,0.2893021190303957
916,1,0.5092426936245041
917,0,0.14413860943442408
918,1,0.8857910684957141
919,0,0.17120038511458605
920,0,0.16124787034930146
921,0,0.16203204156481105
922,0,0.1608573023614102
923,0,0.14416527744044877
924,0,0.33980855739074467
925,0,0.36933069094887194
926,0,0.22058744262456503
927,0,0.18760864529850194
928,1,0.5109266789503555
929,1,0.5355933426487768
930,0,0.15232823033422888
931,0,0.2644262460003478
932,0,0.11570487472253822
933,0,0.1619885980908418
934,0,0.16263778056447914
935,1,0.8502917012786136
936,1,0.9034052334500773
937,0,0.15024985255876666
938,0,0.16483733435048886
939,0,0.1588173258628711
940,1,0.8015395924634781
941,0,0.5
942,0,0.1864721721330787
943,0,0.13930485065462747
944,1,0.7295554079357041
945,1,0.8422343845401518
946,0,0.1384061155113858
947,0,0.13510889824081784
948,0,0.1589401720343914
949,0,0.1498975532950044
950,0,0.12285773304447102
951,1,0.8134350252381031
952,0,0.16561393257086798
953,0,0.15182844839704665
954,0,0.1613845217744464
955,1,0.8483507369391236
956,0,0.5
957,1,0.8625861006138561
958,1,0.8462284332609166
959,0,0.16242948869046528
960,0,0.1601085918799208
961,0,0.2556676873678286
962,1,0.8481540397021702
963,0,0.15352638887172315
964,1,0.5081633408999069
965,0,0.16222444995209295
966,1,0.8413028717631063
967,0,0.16578869884798184
968,0,0.1516537351854042
969,1,0.7894429672229443
970,0,0.14958493365489448
971,1,0.8481540397021702
972,1,0.6348511036830825
973,0,0.49491427969796586
974,0,0.16175408502532354
975,0,0.1514509068948477
976,0,0.13875644984096752
